0|0|0|200|200|200|"Moist"|"229339051"|"143888750"
0|0|0|100|140|180|"Moist"|"229339052"|"143888751"
100|140|180|200|200|200|"Wet"|"229339052"|"143888752"
0|0|0|100|140|180|"Moist"|"229339059"|"143888760"
100|140|180|200|200|200|"Wet"|"229339059"|"143888761"
0|0|0|200|200|200|"Moist"|"229339057"|"143888758"
0|0|0|200|200|200|"Moist"|"229339048"|"143888746"
0|0|0|200|200|200|"Moist"|"229339056"|"143888757"
25|50|76|122|200|200|"Moist"|"229340592"|"143889943"
10|30|50|25|50|76|"Wet"|"229340592"|"143889942"
25|50|76|122|200|200|"Moist"|"229340584"|"143889927"
10|30|50|25|50|76|"Wet"|"229340584"|"143889926"
25|50|76|122|200|200|"Moist"|"229340593"|"143889945"
10|30|50|25|50|76|"Wet"|"229340593"|"143889944"
25|50|76|122|200|200|"Moist"|"229340591"|"143889941"
10|30|50|25|50|76|"Wet"|"229340591"|"143889940"
25|50|76|122|200|200|"Moist"|"229340587"|"143889933"
10|30|50|25|50|76|"Wet"|"229340587"|"143889932"
25|50|76|122|200|200|"Moist"|"229340590"|"143889939"
10|30|50|25|50|76|"Wet"|"229340590"|"143889938"
25|50|76|122|200|200|"Moist"|"229340585"|"143889928"
10|30|50|25|50|76|"Wet"|"229340585"|"143889929"
25|50|76|122|200|200|"Moist"|"229340595"|"143889948"
10|30|50|25|50|76|"Wet"|"229340595"|"143889949"
25|50|76|122|200|200|"Moist"|"229340588"|"143889934"
10|30|50|25|50|76|"Wet"|"229340588"|"143889935"
25|50|76|122|200|200|"Moist"|"229340594"|"143889947"
10|30|50|25|50|76|"Wet"|"229340594"|"143889946"
25|50|76|122|200|200|"Moist"|"229340589"|"143889937"
10|30|50|25|50|76|"Wet"|"229340589"|"143889936"
25|50|76|122|200|200|"Moist"|"229340586"|"143889930"
10|30|50|25|50|76|"Wet"|"229340586"|"143889931"
0|0|0|200|200|200|"Moist"|"229339215"|"143888859"
0|0|0|15|30|45|"Moist"|"229339209"|"143888849"
15|30|45|200|200|200|"Wet"|"229339209"|"143888848"
0|0|0|15|30|45|"Moist"|"229339207"|"143888844"
15|30|45|200|200|200|"Wet"|"229339207"|"143888845"
0|0|0|15|30|45|"Moist"|"229339214"|"143888858"
15|30|45|200|200|200|"Wet"|"229339214"|"143888857"
0|0|0|200|200|200|"Moist"|"229339204"|"143888841"
0|0|0|15|30|45|"Moist"|"229339213"|"143888856"
15|30|45|200|200|200|"Wet"|"229339213"|"143888855"
0|0|0|15|30|45|"Moist"|"229339208"|"143888846"
15|30|45|200|200|200|"Wet"|"229339208"|"143888847"
0|0|0|200|200|200|"Moist"|"229339206"|"143888843"
0|0|0|200|200|200|"Moist"|"229339211"|"143888852"
0|0|0|15|30|45|"Moist"|"229339212"|"143888853"
15|30|45|200|200|200|"Wet"|"229339212"|"143888854"
0|0|0|15|30|45|"Moist"|"229339210"|"143888851"
15|30|45|200|200|200|"Wet"|"229339210"|"143888850"
0|0|0|200|200|200|"Moist"|"229339205"|"143888842"
0|0|0|61|91|122|"Moist"|"229339243"|"143888867"
122|135|150|200|200|200|"Moist"|"229339243"|"143888866"
61|91|122|122|135|150|"Wet"|"229339243"|"143888868"
122|135|150|200|200|200|"Moist"|"229339244"|"143888869"
